[Wheel] dx: -1 | Accumulator: -15
[Wheel] dx: -1 | Accumulator: -16
[Telemetry] Touch Raw: 10596 | Baseline: 10457 | Delta: 139 (Threshold: 1100)
Double Tap Detected!
Switched Mode to: TIMELINE
[Wheel] dx: 1 | Accumulator: 1
[Wheel] dx: -1 | Accumulator: 0
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -11
[Wheel] dx: -2 | Accumulator: -13
[Wheel] dx: -1 | Accumulator: -14
[Wheel] dx: -1 | Accumulator: -15
[Wheel] dx: 1 | Accumulator: 1
[Wheel] dx: -1 | Accumulator: 0
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -2 | Accumulator: -3
[Wheel] dx: -2 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -1 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -3 | Accumulator: -13
[Wheel] dx: -2 | Accumulator: -15
[Wheel] dx: -4 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -2 | Accumulator: -12
[Wheel] dx: -1 | Accumulator: -13
[Wheel] dx: -1 | Accumulator: -14
[Wheel] dx: -2 | Accumulator: -16
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -2 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -11
[Wheel] dx: -2 | Accumulator: -13
[Wheel] dx: 3 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -11
[Wheel] dx: -1 | Accumulator: -12
[Wheel] dx: -2 | Accumulator: -14
[Wheel] dx: -1 | Accumulator: -15
[Wheel] dx: -2 | Accumulator: -2
[Wheel] dx: -2 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -3 | Accumulator: -11
[Wheel] dx: -2 | Accumulator: -13
[Wheel] dx: -2 | Accumulator: -15
[Wheel] dx: -3 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -1 | Accumulator: -9
[Wheel] dx: -2 | Accumulator: -11
[Wheel] dx: -3 | Accumulator: -14
[Wheel] dx: -1 | Accumulator: -15
[Wheel] dx: -2 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -2 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -1 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: 2 | Accumulator: -6
[Telemetry] Touch Raw: 10702 | Baseline: 10457 | Delta: 245 (Threshold: 1100)
[Wheel] dx: 1 | Accumulator: -5
[Wheel] dx: 1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
Double Tap Detected!
Switched Mode to: SCROLL
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -2 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -6 | Accumulator: -12
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: 1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -3 | Accumulator: -3
[Wheel] dx: -2 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: -1 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -3 | Accumulator: -3
[Wheel] dx: -3 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -4 | Accumulator: -12
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -1 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -3 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -1 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: 1 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -3 | Accumulator: -12
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -1 | Accumulator: -9
[Telemetry] Touch Raw: 10717 | Baseline: 10457 | Delta: 260 (Threshold: 1100)
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: 4 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 2 | Accumulator: 8
[Wheel] dx: 3 | Accumulator: 11
[Wheel] dx: 2 | Accumulator: 3
[Wheel] dx: 2 | Accumulator: 5
[Wheel] dx: 2 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: -1 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 4 | Accumulator: 12
[Wheel] dx: 2 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 2 | Accumulator: 7
[Wheel] dx: 2 | Accumulator: 9
[Wheel] dx: 3 | Accumulator: 12
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 4 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 1 | Accumulator: 1
[Wheel] dx: 1 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 3 | Accumulator: 6
[Wheel] dx: 1 | Accumulator: 7
[Wheel] dx: 2 | Accumulator: 9
[Wheel] dx: 2 | Accumulator: 11
[Wheel] dx: 1 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 3 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: -1 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
Double Tap Detected!
Switched Mode to: VOLUME
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: 2 | Accumulator: 1
[Wheel] dx: 1 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 3 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 2 | Accumulator: 10
[Wheel] dx: 3 | Accumulator: 13
[Wheel] dx: 1 | Accumulator: 14
[Wheel] dx: 2 | Accumulator: 16
[Wheel] dx: 1 | Accumulator: 17
[Wheel] dx: 2 | Accumulator: 19
[Wheel] dx: 2 | Accumulator: 21
[Wheel] dx: 1 | Accumulator: 22
[Wheel] dx: 3 | Accumulator: 25
[Wheel] dx: 2 | Accumulator: 2
[Wheel] dx: 2 | Accumulator: 4
[Wheel] dx: 3 | Accumulator: 7
[Wheel] dx: 2 | Accumulator: 9
[Wheel] dx: 2 | Accumulator: 11
[Wheel] dx: 4 | Accumulator: 15
[Wheel] dx: 2 | Accumulator: 17
[Wheel] dx: 2 | Accumulator: 19
[Wheel] dx: 3 | Accumulator: 22
[Wheel] dx: 3 | Accumulator: 25
[Wheel] dx: 5 | Accumulator: 5
[Wheel] dx: -1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 2 | Accumulator: 7
[Wheel] dx: 3 | Accumulator: 10
[Wheel] dx: 3 | Accumulator: 13
[Wheel] dx: 2 | Accumulator: 15
[Wheel] dx: 2 | Accumulator: 17
[Wheel] dx: 2 | Accumulator: 19
[Wheel] dx: 1 | Accumulator: 20
[Wheel] dx: 3 | Accumulator: 23
[Telemetry] Touch Raw: 12322 | Baseline: 10457 | Delta: 1865 (Threshold: 1100)
[Wheel] dx: 1 | Accumulator: 24
[Wheel] dx: 2 | Accumulator: 26
[Wheel] dx: 1 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
